,image_globe,country
0,Afghanistan.png,Afghanistan
1,Albania.png,Albania
2,Algeria.png,Algeria
3,Angola.png,Angola
4,Argentina.png,Argentina
5,Armenia.png,Armenia
6,Australia.png,Australia
7,Austria.png,Austria
8,Azerbaijan.png,Azerbaijan
9,Bangladesh.png,Bangladesh
10,Belarus.png,Belarus
11,Belgium.png,Belgium
12,Benin.png,Benin
13,Bhutan.png,Bhutan
14,Bolivia.png,Bolivia
15,Bosnia_and_Herzegovina.png,Bosnia and Herzegovina
16,Botswana.png,Botswana
17,Brazil.png,Brazil
18,Brunei.png,Brunei
19,Bulgaria.png,Bulgaria
20,Burkina_Faso.png,Burkina Faso
21,Burundi.png,Burundi
22,Cameroon.png,Cameroon
23,Canada.png,Canada
24,Central_African_Republic.png,Central African Republic
25,Chad.png,Chad
26,Chile.png,Chile
27,China.png,China
28,Colombia.png,Colombia
29,Comoros.png,Comoros
30,Costa_Rica.png,Costa Rica
31,Cuba.png,Cuba
32,Cyprus.png,Cyprus
33,Czech_Republic.png,Czech Republic
34,Côte_d'Ivoire.png,Côte d'Ivoire
35,Denmark.png,Denmark
36,Djibouti.png,Djibouti
37,Dominican_Republic.png,Dominican Republic
38,Ecuador.png,Ecuador
39,Egypt.png,Egypt
40,El_Salvador.png,El Salvador
41,Equatorial_Guinea.png,Equatorial Guinea
42,Eritrea.png,Eritrea
43,Eswatini.png,Eswatini
44,Ethiopia.png,Ethiopia
45,Fiji.png,Fiji
46,Finland.png,Finland
47,France.png,France
48,Gabon.png,Gabon
49,Gambia.png,Gambia
50,Georgia.png,Georgia
51,Germany.png,Germany
52,Ghana.png,Ghana
53,Guatemala.png,Guatemala
54,Guinea-Bissau.png,Guinea-Bissau
55,Guinea.png,Guinea
56,Guyana.png,Guyana
57,Haiti.png,Haiti
58,Honduras.png,Honduras
59,Iceland.png,Iceland
60,India.png,India
61,Indonesia.png,Indonesia
62,Iran.png,Iran
63,Iraq.png,Iraq
64,Israel.png,Israel
65,Italy.png,Italy
66,Jamaica.png,Jamaica
67,Japan.png,Japan
68,Jordan.png,Jordan
69,Kazakhstan.png,Kazakhstan
70,Kenya.png,Kenya
71,Kosovo.png,Kosovo
72,Kyrgyzstan.png,Kyrgyzstan
73,Laos.png,Laos
74,Lebanon.png,Lebanon
75,Lesotho.png,Lesotho
76,Liberia.png,Liberia
77,Libya.png,Libya
78,Madagascar.png,Madagascar
79,Malawi.png,Malawi
80,Malaysia.png,Malaysia
81,Maldives.png,Maldives
82,Mali.png,Mali
83,Mauritania.png,Mauritania
84,Mauritius.png,Mauritius
85,Mexico.png,Mexico
86,Mongolia.png,Mongolia
87,Montenegro.png,Montenegro
88,Morocco.png,Morocco
89,Mozambique.png,Mozambique
90,Myanmar.png,Myanmar
91,Namibia.png,Namibia
92,Nepal.png,Nepal
93,Netherlands.png,Netherlands
94,New_Zealand.png,New Zealand
95,Nicaragua.png,Nicaragua
96,Niger.png,Niger
97,Nigeria.png,Nigeria
98,North_Korea.png,North Korea
99,North_Macedonia.png,North Macedonia
100,Norway.png,Norway
101,Oman.png,Oman
102,Pakistan.png,Pakistan
103,Panama.png,Panama
104,Papua_New_Guinea.png,Papua New Guinea
105,Paraguay.png,Paraguay
106,Peru.png,Peru
107,Philippines.png,Philippines
108,Poland.png,Poland
109,Portugal.png,Portugal
110,Romania.png,Romania
111,Russia.png,Russia
112,Rwanda.png,Rwanda
113,Saudi_Arabia.png,Saudi Arabia
114,Senegal.png,Senegal
115,Serbia.png,Serbia
116,Seychelles.png,Seychelles
117,Sierra_Leone.png,Sierra Leone
118,Somalia.png,Somalia
119,South_Africa.png,South Africa
120,South_Korea.png,South Korea
121,South_Sudan.png,South Sudan
122,Spain.png,Spain
123,Sri_Lanka.png,Sri Lanka
124,Sudan.png,Sudan
125,Suriname.png,Suriname
126,Sweden.png,Sweden
127,Switzerland.png,Switzerland
128,Syria.png,Syria
129,São_Tomé_and_Príncipe.png,São Tomé and Príncipe
130,Taiwan.png,Taiwan
131,Tajikistan.png,Tajikistan
132,Tanzania.png,Tanzania
133,Thailand.png,Thailand
134,Togo.png,Togo
135,Trinidad_and_Tobago.png,Trinidad and Tobago
136,Tunisia.png,Tunisia
137,Turkey.png,Turkey
138,Uganda.png,Uganda
139,Ukraine.png,Ukraine
140,United_Arab_Emirates.png,United Arab Emirates
141,United_Kingdom.png,United Kingdom
142,United_States.png,United States
143,Uruguay.png,Uruguay
144,Uzbekistan.png,Uzbekistan
145,Venezuela.png,Venezuela
146,Vietnam.png,Vietnam
147,Yemen.png,Yemen
148,Zambia.png,Zambia
149,Zimbabwe.png,Zimbabwe
