,country,level
0,Afghanistan,Medium
1,Albania,Hard
2,Algeria,Hard
3,Angola,Hard
4,Argentina,Medium
5,Armenia,Hard
6,Armenia,Hard
7,Australia,Easy
8,Austria,Easy
9,Azerbaijan,Hard
10,Azerbaijan,Hard
11,Bangladesh,Easy
12,Belarus,Medium
13,Belgium,Medium
14,Benin,Hard
15,Bhutan,Easy
16,Bolivia,Hard
17,Bosnia and Herzegovina,Hard
18,Botswana,Hard
19,Brazil,Easy
20,Brunei,Hard
21,Bulgaria,Medium
22,Burkina Faso,Hard
23,Burundi,Hard
24,Cameroon,Medium
25,Canada,Easy
26,Chad,Hard
27,Chile,Easy
28,Colombia,Medium
29,Costa Rica,Hard
30,Cuba,Easy
31,Cyprus,Medium
32,Cyprus,Medium
33,Côte d'Ivoire,Hard
34,Denmark,Easy
35,Djibouti,Hard
36,Ecuador,Hard
37,Egypt,Medium
38,El Salvador,Hard
39,Equatorial Guinea,Hard
40,Eritrea,Hard
41,Eswatini,Hard
42,Ethiopia,Medium
43,Fiji,Easy
44,Finland,Easy
45,France,Easy
46,Gabon,Hard
47,Georgia,Medium
48,Georgia,Medium
49,Germany,Easy
50,Ghana,Hard
51,Guatemala,Hard
52,Guinea-Bissau,Hard
53,Guinea,Hard
54,Guyana,Hard
55,Haiti,Medium
56,Honduras,Medium
57,Iceland,Easy
58,India,Easy
59,Indonesia,Easy
60,Iran,Medium
61,Iraq,Medium
62,Israel,Medium
63,Italy,Easy
64,Jamaica,Hard
65,Japan,Easy
66,Jordan,Hard
67,Kazakhstan,Hard
68,Kazakhstan,Hard
69,Kenya,Hard
70,Kosovo,Hard
71,Kyrgyzstan,Hard
72,Laos,Hard
73,Lebanon,Hard
74,Lesotho,Hard
75,Liberia,Hard
76,Libya,Hard
77,Madagascar,Hard
78,Malawi,Hard
79,Malaysia,Easy
80,Maldives,Easy
81,Mali,Medium
82,Mauritania,Hard
83,Mauritius,Hard
84,Mexico,Easy
85,Mongolia,Hard
86,Montenegro,Hard
87,Morocco,Hard
88,Mozambique,Hard
89,Myanmar,Easy
90,Namibia,Hard
91,Nepal,Easy
92,New Zealand,Easy
93,Nicaragua,Hard
94,Niger,Hard
95,Nigeria,Hard
96,North Korea,Easy
97,North Macedonia,Hard
98,Norway,Easy
99,Oman,Medium
100,Pakistan,Easy
101,Panama,Medium
102,Papua New Guinea,Hard
103,Paraguay,Easy
104,Peru,Medium
105,Poland,Easy
106,Portugal,Easy
107,Romania,Medium
108,Russia,Easy
109,Russia,Easy
110,Rwanda,Hard
111,Saudi Arabia,Medium
112,Senegal,Hard
113,Serbia,Hard
114,Seychelles,Hard
115,Sierra Leone,Hard
116,Somalia,Hard
117,South Africa,Medium
118,South Korea,Medium
119,South Sudan,Hard
120,Spain,Easy
121,Sri Lanka,Easy
122,Sudan,Hard
123,Suriname,Hard
124,Sweden,Easy
125,Switzerland,Easy
126,Syria,Medium
127,São Tomé and Príncipe,Hard
128,Tajikistan,Hard
129,Tanzania,Hard
130,Thailand,Easy
131,Central African Republic,Hard
132,Comoros,Hard
133,Czech Republic,Medium
134,Dominican Republic,Hard
135,Netherlands,Medium
136,Philippines,Medium
137,United Arab Emirates,Medium
138,United Kingdom,Easy
139,United States,Easy
140,Togo,Hard
141,Trinidad and Tobago,Hard
142,Tunisia,Hard
143,Turkey,Medium
144,Turkey,Medium
145,Uganda,Hard
146,Ukraine,Medium
147,Uruguay,Medium
148,Uzbekistan,Hard
149,Venezuela,Medium
150,Vietnam,Easy
151,Yemen,Hard
152,Zambia,Hard
153,Zimbabwe,Medium
